id_notion;mot;mot_normalise;id_theme;theme;categorie;definition;a_retenir;ne_pas_confondre;voir_aussi;chapitre;lettre;groupe_alphabetique;mots_cles;id_ecran;actif
GLO0001;Abstention;abstention;T2;Système institutionnel et politique français;LES ÉLECTIONS;Fait de ne pas participer à une élection.;L'abstention est différente du vote blanc.;;Vote;Chapitre 4;A;A–C;"abstention; vote";SCR_GLO_0001;Oui
GLO0002;Alpes;alpes;T4;Histoire, géographie, patrimoine et culture;LA GÉOGRAPHIE DE LA FRANCE;Massif montagneux situé à l'est de la France.;Le Mont Blanc est le plus haut sommet d'Europe occidentale.;;Pyrénées;Chapitre 2;A;A–C;"alpes; pyrenees";SCR_GLO_0002;Oui
GLO0003;APL;apl;T5;Vivre dans la société française;LE LOGEMENT;Aide personnalisée au logement versée sous certaines conditions.;Elle permet de réduire le montant du loyer.;;CAF;Chapitre 3;A;A–C;"apl; caf";SCR_GLO_0003;Oui
GLO0004;Assemblée nationale;assemblee nationale;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;L'Assemblée nationale est composée des députés.;Les députés sont élus directement par les citoyens.;;"Député; Parlement";Chapitre 2;A;A–C;"assemblee nationale; depute; parlement";SCR_GLO_0004;Oui
GLO0005;Assistance à personne en danger;assistance a personne en danger;T3;Droits et devoirs;LES RESPONSABILITÉS;Obligation d'aider une personne en danger ou d'alerter les secours lorsqu'il est possible de le faire sans risque.;Ne pas porter assistance peut être puni par la loi.;;Secours;Chapitre 2;A;A–C;"assistance a personne en danger; secours";SCR_GLO_0005;Oui
GLO0006;Assurance maladie;assurance maladie;T5;Vivre dans la société française;LA SANTÉ;Système de protection sociale qui rembourse tout ou partie des dépenses de santé.;Toute personne résidant régulièrement en France peut bénéficier d'une couverture maladie selon sa situation.;;"Carte Vitale; CPAM; Médecin traitant";Chapitre 1;A;A–C;"assurance maladie; carte vitale; cpam; medecin traitant";SCR_GLO_0006;Oui
GLO0007;Bail;bail;T5;Vivre dans la société française;LE LOGEMENT;Contrat de location entre un propriétaire et un locataire.;Le bail fixe les droits et obligations de chacun.;;Logement;Chapitre 3;B;A–C;"bail; logement";SCR_GLO_0007;Oui
GLO0008;Bretagne;bretagne;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Région située à l'ouest de la France métropolitaine.;La Bretagne est connue pour son littoral, sa culture bretonne, ses ports de pêche, ses phares et ses spécialités culinaires comme les crêpes et le kouign-amann.;;"Rennes; Région";Chapitre 2;B;A–C;"bretagne; region; rennes";SCR_GLO_0008;Oui
GLO0009;CAF;caf;T5;Vivre dans la société française;LE LOGEMENT;La Caisse d'allocations familiales verse différentes aides aux familles et aux personnes selon leur situation.;La CAF peut aider au paiement du logement.;;APL;Chapitre 3;C;A–C;"apl; caf";SCR_GLO_0009;Oui
GLO0010;Carte de résident;carte de resident;T5;Vivre dans la société française;LES DÉMARCHES ADMINISTRATIVES;Titre de séjour permettant de résider durablement en France.;Sa durée de validité est généralement de dix ans.;;Titre de séjour;Chapitre 5;C;A–C;"carte de resident; titre de sejour";SCR_GLO_0010;Oui
GLO0011;Carte Vitale;carte vitale;T5;Vivre dans la société française;LA SANTÉ;Carte personnelle permettant de justifier ses droits à l'Assurance maladie.;Elle facilite le remboursement des soins.;;"Assurance maladie; CPAM";Chapitre 1;C;A–C;"assurance maladie; carte vitale; cpam";SCR_GLO_0011;Oui
GLO0012;CDD;cdd;T5;Vivre dans la société française;LE TRAVAIL;Contrat à durée déterminée.;Il prévoit une date de fin.;CDD ≠ CDI.;"Contrat de travail; CDI";Chapitre 2;C;A–C;"cdd; cdi; contrat de travail";SCR_GLO_0012;Oui
GLO0013;CDI;cdi;T5;Vivre dans la société française;LE TRAVAIL;Contrat à durée indéterminée.;Il ne prévoit pas de date de fin.;CDI ≠ CDD.;"Contrat de travail; CDD";Chapitre 2;C;A–C;"cdd; cdi; contrat de travail";SCR_GLO_0013;Oui
GLO0014;Celtes;celtes;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Peuples installés en Gaule avant la conquête romaine.;Les Gaulois étaient des peuples celtes.;;Gaule;Chapitre 1;C;A–C;"celtes; gaule";SCR_GLO_0014;Oui
GLO0015;Charlemagne;charlemagne;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Empereur d'Occident couronné en l'an 800.;Il a contribué au développement de l'éducation et de l'organisation de son empire.;;Moyen Âge;Chapitre 1;C;A–C;"charlemagne; moyen age";SCR_GLO_0015;Oui
GLO0016;Charte de l'environnement;charte de l environnement;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Texte à valeur constitutionnelle qui reconnaît le droit à un environnement équilibré.;La protection de l'environnement est un principe constitutionnel.;;Environnement;Chapitre 1;C;A–C;"charte de l environnement; environnement";SCR_GLO_0016;Oui
GLO0017;Château de Versailles;chateau de versailles;T4;Histoire, géographie, patrimoine et culture;LE PATRIMOINE FRANÇAIS;Ancienne résidence des rois de France située près de Paris.;Il est célèbre pour son architecture et ses jardins.;;Louis XIV;Chapitre 3;C;A–C;"chateau de versailles; louis xiv";SCR_GLO_0017;Oui
GLO0018;Cinquième République;cinquieme republique;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Régime politique actuel de la France, instauré en 1958.;La Constitution de 1958 est toujours en vigueur.;;Constitution;Chapitre 1;C;A–C;"cinquieme republique; constitution";SCR_GLO_0018;Oui
GLO0019;Citoyen;citoyen;T1;Principes et valeurs de la République;LES PRINCIPES DE LA RÉPUBLIQUE;Personne possédant la nationalité française et bénéficiant des droits civiques et politiques.;Le citoyen participe à la vie démocratique.;;"Nationalité; Droit de vote";Chapitre 1;C;A–C;"citoyen; droit de vote; nationalite";SCR_GLO_0019;Oui
GLO0020;Citoyenneté;citoyennete;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Lien juridique entre une personne et un État, donnant des droits mais aussi des devoirs.;Tous les résidents ne sont pas citoyens français.;Citoyenneté ≠ résidence.;Nationalité;Chapitre 1;C;A–C;"citoyennete; nationalite";SCR_GLO_0020;Oui
GLO0021;Clovis;clovis;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Premier roi des Francs à s'être converti au christianisme.;Son règne marque le début de la dynastie mérovingienne.;;Charlemagne;Chapitre 1;C;A–C;"charlemagne; clovis";SCR_GLO_0021;Oui
GLO0022;Collège;college;T5;Vivre dans la société française;L'ÉDUCATION;Établissement accueillant les élèves après l'école primaire.;Le collège est obligatoire.;;Lycée;Chapitre 4;C;A–C;"college; lycee";SCR_GLO_0022;Oui
GLO0023;Commission européenne;commission europeenne;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Institution chargée de proposer les lois européennes et de veiller à leur application.;Elle défend l'intérêt général de l'Union européenne.;;Union européenne;Chapitre 5;C;A–C;"commission europeenne; union europeenne";SCR_GLO_0023;Oui
GLO0024;Commune;commune;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;La commune est la plus petite collectivité territoriale.;Elle est administrée par un maire.;;Maire;Chapitre 3;C;A–C;"commune; maire";SCR_GLO_0024;Oui
GLO0025;Conseil constitutionnel;conseil constitutionnel;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le Conseil constitutionnel vérifie que les lois respectent la Constitution.;Il protège la Constitution.;;Constitution;Chapitre 2;C;A–C;"conseil constitutionnel; constitution";SCR_GLO_0025;Oui
GLO0026;Conseil de l'Union européenne;conseil de l union europeenne;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Institution où siègent les ministres des États membres.;Il participe au vote des lois européennes.;;Commission européenne;Chapitre 5;C;A–C;"commission europeenne; conseil de l union europeenne";SCR_GLO_0026;Oui
GLO0027;Conseil départemental;conseil departemental;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;Assemblée qui administre le département.;Ses membres sont les conseillers départementaux.;;Département;Chapitre 3;C;A–C;"conseil departemental; departement";SCR_GLO_0027;Oui
GLO0028;Conseil européen;conseil europeen;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Réunion des chefs d'État ou de gouvernement des pays membres.;Il fixe les grandes orientations politiques de l'Union européenne.;;Union européenne;Chapitre 5;C;A–C;"conseil europeen; union europeenne";SCR_GLO_0028;Oui
GLO0029;Conseil municipal;conseil municipal;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;Assemblée élue qui administre la commune.;Les conseillers municipaux élisent le maire.;;Maire;Chapitre 3;C;A–C;"conseil municipal; maire";SCR_GLO_0029;Oui
GLO0030;Conseil régional;conseil regional;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;Assemblée qui administre la région.;Ses membres sont les conseillers régionaux.;;Région;Chapitre 3;C;A–C;"conseil regional; region";SCR_GLO_0030;Oui
GLO0031;Consentement;consentement;T3;Droits et devoirs;LES VIOLENCES;Accord libre et volontaire donné par une personne.;Sans consentement, un acte peut constituer une infraction.;;Violence sexuelle;Chapitre 2;C;A–C;"consentement; violence sexuelle";SCR_GLO_0031;Oui
GLO0032;Constitution;constitution;T1;Principes et valeurs de la République;LES PRINCIPES DE LA RÉPUBLIQUE;Texte fondamental qui organise les institutions françaises et garantit les droits et libertés.;Toutes les lois doivent respecter la Constitution.;;"République; Loi";Chapitre 1;C;A–C;"constitution; loi; republique";SCR_GLO_0032;Oui
GLO0033;Contrat d'engagement à respecter les principes de la République;contrat d engagement a respecter les principes de la republique;T1;Principes et valeurs de la République;LANGUE ET ENGAGEMENT RÉPUBLICAIN;Engagement consistant à respecter les valeurs et les principes de la République française.;Le respect des principes républicains est attendu dans certains parcours administratifs.;;"République; Laïcité; Valeurs de la République";Chapitre 6;C;A–C;"contrat d engagement a respecter les principes de la republique; laicite; republique; valeurs de la republique";SCR_GLO_0033;Oui
GLO0034;Contrat de travail;contrat de travail;T5;Vivre dans la société française;LE TRAVAIL;Accord entre un employeur et un salarié définissant les conditions de travail.;Le contrat précise les droits et les obligations de chacun.;;"CDI; CDD";Chapitre 2;C;A–C;"cdd; cdi; contrat de travail";SCR_GLO_0034;Oui
GLO0035;Contravention;contravention;T3;Droits et devoirs;LES DEVOIRS;Infraction la moins grave.;Elle est généralement punie d'une amende.;;"Délit; Crime";Chapitre 2;C;A–C;"contravention; crime; delit";SCR_GLO_0035;Oui
GLO0036;CPAM;cpam;T5;Vivre dans la société française;LA SANTÉ;La Caisse primaire d'assurance maladie gère l'Assurance maladie dans chaque département.;Elle accompagne les assurés dans leurs démarches de santé.;;"Carte Vitale; Assurance maladie";Chapitre 1;C;A–C;"assurance maladie; carte vitale; cpam";SCR_GLO_0036;Oui
GLO0037;Crime;crime;T3;Droits et devoirs;LES DEVOIRS;Infraction la plus grave prévue par la loi.;Les crimes sont jugés par une cour d'assises.;;Délit;Chapitre 2;C;A–C;"crime; delit";SCR_GLO_0037;Oui
GLO0038;Déclaration des droits de l'homme et du citoyen;declaration des droits de l homme et du citoyen;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Texte adopté en 1789 qui affirme les droits et libertés fondamentaux.;C'est l'un des textes fondateurs de la République française.;;Constitution;Chapitre 1;D;D–F;"constitution; declaration des droits de l homme et du citoyen";SCR_GLO_0038;Oui
GLO0039;Délit;delit;T3;Droits et devoirs;LES DEVOIRS;Infraction plus grave qu'une contravention.;Il peut être puni d'une peine de prison.;;Crime;Chapitre 2;D;D–F;"crime; delit";SCR_GLO_0039;Oui
GLO0040;Démocratie;democratie;T1;Principes et valeurs de la République;LES PRINCIPES DE LA RÉPUBLIQUE;Régime politique dans lequel les citoyens participent à la vie publique par le vote ou le référendum.;La démocratie permet au peuple de participer aux décisions publiques.;Démocratie ≠ République.;"République; Élection";Chapitre 1;D;D–F;"democratie; election; republique";SCR_GLO_0040;Oui
GLO0041;Département;departement;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;Le département est une collectivité territoriale située entre la région et la commune.;La France compte 101 départements.;;"Région; Commune";Chapitre 3;D;D–F;"commune; departement; region";SCR_GLO_0041;Oui
