id_faq;categorie;ordre;question;reponse_markdown;mots_cles;id_ecran;actif;source;commentaire
FAQ-001;EXAMEN;1;Qu'est-ce que l'examen civique ?;"L'examen civique est un test obligatoire pour obtenir certains titres de séjour (carte de séjour pluriannuelle ou carte de résident) mais aussi la nationalité française (naturalisation). Il 
permet d'évaluer vos connaissances sur les valeurs de la République, les institutions françaises, les droits et devoirs, l'histoire, la géographie, la culture française ainsi que la vie en société.

Le contenu varie selon que vous préparez :

- La carte de séjour ;
- La carte de résident ;
- Ou La Naturalisation.";"examen; civique";SCR_FAQ_001;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-002;EXAMEN;2;Qui est concerné par l'examen civique ?;L'examen civique concerne toutes les personnes réalisant une première demande de carte de résident, de carte de séjour pluriannuelle ou une demande de naturalisation. Il vise à vérifier vos connaissances concernant la France (fonctionnement des institutions, droits et devoirs du citoyen français, histoire et géographie de la France, culture française...);"concerné; par; examen; civique";SCR_FAQ_002;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-003;EXAMEN;3;Quelles sont les thématiques officielles de l'examen civique ?;"Les questions portent sur cinq grandes thématiques :

- Les valeurs et principes de la République française ;
- Le système institutionnel et politique français ;
- Les droits et devoirs du citoyen ;
- L'histoire, la géographie et la culture françaises ;
- La vie dans la société française.

Ces thèmes correspondent au référentiel officiel publié par les autorités françaises.";"thématiques; officielles; examen; civique";SCR_FAQ_003;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-004;EXAMEN;4;Combien de questions comporte l'examen civique ?;L'examen comporte 40 questions QCM : 28 questions de connaissances et 12 mises en situation. Vous avez 45 minutes pour répondre. Vous devez obtenir 32 bonnes réponses sur 40 pour valider le test.;"questions; comporte; examen; civique";SCR_FAQ_004;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-005;EXAMEN;5;Quelles sont les diffénces entre les examens Carte de séjour, Carte de résident et Naturalisation ?;Les trois examens civiques ont des niveaux de difficulté différents : CSP (Carte de Séjour Pluriannuelle, 4 ans) est le plus accessible avec 191 questions officielles. CR (Carte de Résident, 10 ans) est plus exigeant avec 209 questions. NAT (Naturalisation) est le plus difficile avec 258 questions approfondies sur l'histoire et les institutions. Dans tous les cas, 40 questions sont tirées au sort le jour J et le nombre de bonnes réponses à donner reste le même (32/40).;"diffénces; entre; examens; carte; séjour; résident; naturalisation";SCR_FAQ_005;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-006;EXAMEN;6;A quoi correspond l'examen civique pour la naturalisation ?;L'examen civique pour la naturalisation est le test officiel demandé lorsque l'on souhaite demander la nationalité française. Il permet d'évaluer la connaissance des valeurs de la République, les droits et devoirs du citoyen français, de connaître l'histoire de la France et sa géograhie. La banque de questions pour la **naturalisation** compte 258 questions officielles, avec un format de 40 QCM en 45 minutes et un seuil de réussite établi à 80%.;"correspond; examen; civique; naturalisation";SCR_FAQ_006;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-007;EXAMEN;7;A quoi correspond l'examen civique pour la carte de résident ?;L'examen civique pour la carte de résident est le test officiel demandé lorsque l'on effectue une première demande de carte de résident. Comme pour la naturalisation ,ce test permet d'évaluer la connaissance des valeurs de la République et des institutions, les droits et les devoirs du citoyen français, la culture française. La banque de questions pour la **carte résident** compte 209 questions officielles, avec un format de 40 QCM en 45 minutes et un seuil de réussite établi à 80%.;"correspond; examen; civique; carte; résident";SCR_FAQ_007;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-008;EXAMEN;8;A quoi correspond l'examen civique pour la carte de séjour pluriannuelle ?;L'examen civique pour la carte de séjour pluriannuelle est le test officiel demandé lorsqu'on effectue une première demande de carte de séjour pluriannuelle. Comme pour la carte de résident et la demande de naturalisation, ce test va porter sur 5 grandes thématiques qui permettront d'évaluer les connaissances de la France et de son fonctionnement. La banque de questions CSP compte 191 questions officielles, avec un format de 40 QCM en 45 minutes et un seuil de réussite établi à 80%.;"correspond; examen; civique; carte; séjour; pluriannuelle";SCR_FAQ_008;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-009;EXAMEN;9;Quel score doit-on obtenir pour réussir l'examen civique ?;Pour réussir l'examen civique, vous devez obtenir 80 % de bonnes réponses soit 32 réponses sur 40. Si vous avez obtenu 31/40 alors c'est un échec.;"score; doit; obtenir; réussir; examen; civique";SCR_FAQ_009;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-010;EXAMEN;10;Que se passe-t-il si on triche à l'examen ?;La fraude à l'examen civique a de lourdes conséquences : vous serez immédiatement exclu de la session en cours et votre tentative sera invalidée. De plus vous serez interdit de repasser l'examen pendant 2 ans. Cette interdiction peut également avoir un impact sur votre dossier administratif auprès de la préfecture.;"passe; triche; examen";SCR_FAQ_010;Oui;FAQ_COACH_CIVIQUE.md;
